,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
380,Matt Irwin\irwinma01,32,TOT,D,36,461,473,49.4,-2.2,362,352,50.7,-1.0,5.6,89.0,94.6,48.5,51.5,14:28,13:17,8,13,-5.7,125,46.4
381,Joshua Jacobs\jacobjo01,23,NJD,D,2,23,37,38.3,-6.8,16,23,41.0,-3.1,8.3,100.0,108.3,41.7,58.3,16:36,16:15,1,0,0.0,4,75.0
382,Mark Jankowski\jankoma01,25,CGY,C,56,449,486,48.0,-3.6,338,375,47.4,-3.4,4.3,91.4,95.7,40.8,59.2,11:06,8:42,32,20,-3.5,81,46.9
383,Mattias Janmark\janmama02,27,DAL,C,62,703,690,50.5,1.0,527,513,50.7,1.9,6.0,92.0,98.0,53.5,46.5,14:37,12:18,27,31,4.0,152,57.2
384,Calle Jarnkrok\jarnkca01,28,NSH,C,64,789,737,51.7,0.7,599,556,51.9,0.0,7.7,92.7,100.4,55.0,45.0,15:56,12:27,19,11,-4.3,231,58.9
385,Christian Jaros\jarosch01,23,OTT,D,13,88,101,46.6,-2.6,63,76,45.3,-3.6,11.6,90.9,102.5,59.3,40.7,10:31,9:46,1,5,-1.0,16,31.3
386,Boone Jenner\jennebo01,26,CBJ,C,70,948,1084,46.7,-3.0,736,782,48.5,-2.8,6.0,91.6,97.7,45.9,54.1,18:07,14:17,24,28,-0.7,271,66.1
387,Nick Jensen\jenseni02,29,WSH,D,68,959,926,50.9,-1.7,717,697,50.7,-1.8,7.7,91.9,99.6,49.1,50.9,17:49,15:20,26,48,-0.4,148,41.2
388,Ryan Johansen\johanry01,27,NSH,C,68,930,871,51.6,1.2,696,653,51.6,0.2,8.9,90.7,99.6,52.3,47.7,17:03,13:19,38,24,-5.1,158,63.9
389,Marcus Johansson\johanma03,29,BUF,C/W,60,727,771,48.5,-0.4,559,610,47.8,-0.7,8.4,89.6,98.0,45.2,54.8,17:09,14:20,15,24,-1.0,153,56.9
390,Stephen Johns\johnsst03,27,DAL,D,17,260,253,50.7,-0.7,183,187,49.5,-2.0,8.5,92.9,101.3,53.0,47.0,17:40,16:55,5,11,-1.6,65,46.2
391,Adam Johnson\johnsad01,25,PIT,C,7,32,37,46.4,-3.9,25,28,47.2,-3.8,15.8,85.0,100.8,24.0,76.0,6:42,6:39,1,1,0.8,6,83.3
392,Erik Johnson\johnser01,31,COL,D,59,1022,1021,50.0,-2.5,746,774,49.1,-3.5,9.3,92.2,101.5,47.3,52.7,21:01,17:13,32,27,-1.8,203,48.8
393,Jack Johnson\johnsja02,33,PIT,D,67,964,1101,46.7,-6.5,716,848,45.8,-8.6,8.3,91.9,100.2,46.1,53.9,19:28,17:09,15,23,-11.0,144,43.8
394,Luke Johnson\johnslu01,25,MIN,C,3,19,33,36.5,-13.5,15,24,38.5,-12.1,0.0,84.2,84.2,30.0,70.0,11:35,10:24,0,0,-1.3,1,100.0
395,Tyler Johnson\johnsty01,29,TBL,C,65,740,710,51.0,-0.8,559,546,50.6,-0.4,9.7,94.1,103.8,51.7,48.3,14:33,12:13,14,20,4.4,190,59.5
396,Andreas Johnsson\johnsan01,25,TOR,LW,43,613,548,52.8,-0.5,444,422,51.3,-1.6,8.8,90.6,99.5,56.8,43.2,15:45,13:17,13,20,3.9,127,61.4
397,Ross Johnston\johnsro02,25,NYI,LW,32,190,270,41.3,-5.3,139,196,41.5,-5.7,8.6,94.6,103.2,49.3,50.7,7:59,7:57,2,4,-1.7,25,64.0
398,Henri Jokiharju\jokihhe01,20,BUF,D,69,914,916,49.9,0.8,713,719,49.8,1.3,8.0,91.3,99.2,47.5,52.5,17:13,15:55,7,30,-1.5,151,51.7
399,Caleb Jones\jonesca01,22,EDM,D,43,516,537,49.0,2.1,383,405,48.6,1.0,9.3,90.4,99.8,50.5,49.5,14:08,13:37,8,26,-1.2,79,48.1
400,Max Jones\jonesma03,21,ANA,LW,59,679,680,50.0,3.3,500,521,49.0,1.9,5.8,92.7,98.5,53.5,46.5,14:16,12:38,19,32,-2.4,176,58.0
401,Seth Jones\jonesse01,25,CBJ,D,56,1046,1076,49.3,1.7,793,787,50.2,0.2,8.4,92.2,100.6,57.6,42.4,25:17,19:48,29,37,2.3,244,51.6
402,Mathieu Joseph\josepma01,22,TBL,RW,37,337,320,51.3,-1.5,254,253,50.1,-1.9,7.3,91.3,98.6,52.6,47.4,11:31,10:33,17,12,0.6,72,48.6
403,Roman Josi\josiro01,29,NSH,D,69,1552,1400,52.6,3.2,1156,1017,53.2,3.0,9.9,92.1,102.1,50.0,50.0,25:47,20:15,34,68,7.5,482,53.9
