,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
606,Kyle Okposo\okposky01,31,BUF,RW,52,497,481,50.8,2.9,388,373,51.0,3.9,7.7,91.9,99.6,39.4,60.6,12:51,12:03,15,13,0.7,133,61.7
607,Jamie Oleksiak\oleksja01,27,DAL,D,69,1006,904,52.7,4.6,726,654,52.6,4.6,5.5,92.4,97.8,49.3,50.7,15:49,15:05,24,46,7.5,149,51.0
608,Mathieu Olivier\olivima01,22,NSH,F,8,40,46,46.5,-8.0,32,31,50.8,-4.9,7.1,95.5,102.6,24.4,75.6,7:33,7:33,0,3,0.2,9,66.7
609,Gustav Olofsson\olofsgu01,25,MTL,D,3,14,34,29.2,-28.3,10,23,30.3,-29.9,0.0,75.0,75.0,50.0,50.0,8:06,8:06,0,1,-1.0,6,33.3
610,Victor Olofsson\olofsvi01,24,BUF,RW,54,761,752,50.3,0.5,589,598,49.6,0.2,10.3,90.6,100.9,59.4,40.6,18:23,14:53,12,26,-2.1,228,55.7
611,Dmitry Orlov\orlovdm01,28,WSH,D,69,1367,1195,53.4,2.1,1024,905,53.1,1.8,9.9,90.1,100.0,50.5,49.5,22:10,19:44,49,65,1.3,224,46.9
612,T.J. Oshie\oshietj01,33,WSH,C/RW,69,984,954,50.8,-1.9,770,720,51.7,-0.5,12.0,89.6,101.6,51.5,48.5,18:16,14:26,42,45,-1.1,249,53.8
613,Xavier Ouellet\ouellxa01,26,MTL,D,12,145,130,52.7,-2.2,104,100,51.0,-3.4,9.7,90.9,100.6,53.5,46.5,13:54,12:52,1,4,0.6,28,28.6
614,Alex Ovechkin\ovechal01,34,WSH,LW,68,1159,1023,53.1,1.5,844,780,52.0,-0.1,11.2,87.9,99.1,53.6,46.4,20:39,15:39,28,48,2.1,561,55.4
615,Max Pacioretty\pacioma01,31,VEG,LW,71,1277,896,58.8,6.2,994,662,60.0,7.7,9.5,89.8,99.4,56.5,43.5,17:54,15:22,32,55,27.3,549,55.9
616,Jean-Gabriel Pageau\pageaje01,27,TOT,C,67,962,1040,48.1,-0.4,741,754,49.6,1.4,7.3,91.0,98.3,41.3,58.8,19:08,15:02,33,32,0.4,244,61.9
617,Ondrej Palat\palaton01,28,TBL,LW,69,937,825,53.2,1.6,679,613,52.6,1.7,11.3,93.3,104.6,52.3,47.7,16:12,13:44,41,34,5.6,220,58.2
618,Kyle Palmieri\palmiky01,28,NJD,RW,65,787,866,47.6,2.6,631,649,49.3,3.7,9.9,91.9,101.8,53.9,46.1,17:06,13:28,29,28,-0.3,285,54.4
619,Artemi Panarin\panarar01,28,NYR,LW,69,1159,1133,50.6,6.3,917,858,51.7,7.0,13.4,91.8,105.2,54.7,45.3,20:36,16:49,56,82,10.0,403,51.9
620,Richard Panik\panikri01,28,WSH,RW,59,619,512,54.7,2.5,458,399,53.4,1.3,10.5,94.2,104.7,50.3,49.7,11:20,10:25,21,29,-1.3,125,54.4
621,Cedric Paquette\paquece01,26,TBL,C,61,569,602,48.6,-5.3,418,457,47.8,-5.5,8.1,91.3,99.4,44.1,55.9,13:03,10:57,17,9,-4.2,136,57.4
622,Colton Parayko\parayco01,26,STL,D,64,1066,1106,49.1,-2.0,832,845,49.6,-1.0,9.2,91.9,101.1,47.4,52.6,22:58,19:58,33,41,-2.5,284,57.0
623,Zach Parise\parisza01,35,MIN,LW,69,905,943,49.0,-0.7,672,702,48.9,-1.2,9.2,90.1,99.3,52.5,47.5,17:12,13:20,21,22,-0.4,238,65.1
624,David Pastrnak\pastrda01,23,BOS,RW,70,1102,916,54.6,5.8,816,697,53.9,4.7,11.9,91.2,103.1,62.5,37.5,18:58,15:03,49,88,8.5,506,55.1
625,Greg Pateryn\patergr01,29,MIN,D,20,201,267,42.9,-9.3,146,183,44.4,-8.3,12.4,91.1,103.5,47.4,52.6,15:28,13:19,3,6,-0.1,53,41.5
626,Nick Paul\paulni01,24,OTT,LW,56,657,744,46.9,-2.7,491,534,47.9,-1.6,7.6,93.0,100.6,42.0,58.0,14:27,13:15,27,19,-3.1,184,56.0
627,Joe Pavelski\paveljo01,35,DAL,C,67,881,822,51.7,2.8,643,617,51.0,2.3,8.3,93.7,102.1,53.8,46.3,16:56,13:24,38,27,6.5,235,53.2
628,Tanner Pearson\pearsta01,27,VAN,LW,69,915,966,48.6,0.3,683,725,48.5,-0.8,8.4,91.2,99.6,46.5,53.5,16:31,13:42,37,33,-7.5,255,64.3
629,Matthew Peca\pecama01,26,TOT,C,14,132,130,50.4,-2.3,98,98,50.0,-3.0,6.0,89.3,95.3,44.6,55.4,10:27,9:39,0,1,-0.5,22,31.8
630,Andrew Peeke\peekean01,21,CBJ,D,22,269,259,50.9,-0.2,207,187,52.5,-0.3,7.2,92.8,99.9,53.2,46.8,13:51,13:14,3,8,1.6,53,43.4
631,Adam Pelech\pelecad01,25,NYI,D,38,563,719,43.9,-3.5,409,510,44.5,-3.2,9.4,91.6,101.1,37.9,62.1,21:08,18:09,32,48,-3.7,115,42.6
632,Brendan Perlini\perlibr01,23,TOT,LW,40,255,364,41.2,-5.0,193,295,39.5,-6.6,3.6,90.5,94.1,47.1,52.9,10:42,9:18,7,8,-9.0,99,48.5
633,Mathieu Perreault\perrema01,32,WPG,C,49,548,529,50.9,2.4,401,413,49.3,2.0,5.9,91.5,97.4,44.7,55.3,13:06,11:38,17,11,-2.0,119,59.7
634,David Perron\perroda01,31,STL,LW,71,986,854,53.6,4.2,762,671,53.2,3.8,9.9,89.8,99.6,53.4,46.6,18:19,15:01,39,35,-0.8,324,51.2
635,Corey Perry\perryco01,34,DAL,RW,57,588,657,47.2,-3.5,439,485,47.5,-3.1,7.7,92.5,100.2,52.5,47.5,13:43,11:33,17,26,0.8,159,48.4
636,Joel Persson\perssjo02,25,EDM,D,13,167,183,47.7,1.1,125,139,47.3,0.6,9.3,92.2,101.5,55.0,45.0,15:19,14:58,2,8,-0.3,33,51.5
637,Brett Pesce\pescebr01,25,CAR,D,61,1095,982,52.7,-2.2,809,766,51.4,-3.2,9.1,91.2,100.4,49.2,50.8,21:53,18:14,42,39,0.3,222,46.8
638,Nic Petan\petanni01,24,TOR,C,16,175,143,55.0,1.3,132,109,54.8,4.0,5.7,90.6,96.3,38.8,61.2,11:07,10:18,4,2,0.2,41,46.3
639,Jeff Petry\petryje01,32,MTL,D,71,1499,1130,57.0,3.8,1108,859,56.3,3.5,7.1,89.0,96.1,52.2,47.8,23:39,18:59,30,88,15.3,367,43.1
640,Elias Pettersson\petteel01,21,VAN,C,68,1058,860,55.2,9.5,800,626,56.1,9.8,11.8,90.1,101.8,61.4,38.6,18:32,14:25,36,33,12.1,328,49.4
641,Marcus Pettersson\pettema01,23,PIT,D,69,1100,1008,52.2,1.8,855,753,53.2,2.5,9.7,90.8,100.6,52.9,47.1,19:24,17:11,17,38,7.0,193,40.9
642,Alex Pietrangelo\pietral01,30,STL,D,70,1270,1126,53.0,3.9,977,872,52.8,3.9,10.6,89.7,100.3,51.6,48.4,24:08,18:56,43,45,4.6,418,53.8
643,Lawrence Pilut\pilutla01,24,BUF,D,13,109,149,42.2,-8.2,84,120,41.2,-8.4,5.2,91.7,96.8,46.2,53.8,16:14,14:42,2,4,-1.2,17,35.3
644,Neal Pionk\pionkne01,24,WPG,D,71,1336,1255,51.6,4.1,1013,996,50.4,4.0,8.7,91.6,100.2,55.3,44.7,23:23,19:31,31,62,-6.4,340,52.1
645,Brandon Pirri\pirribr01,28,VEG,C,16,141,165,46.1,-11.0,100,122,45.0,-11.7,4.8,93.3,98.1,56.7,43.3,12:34,10:48,8,4,-0.7,53,45.3
646,Tyler Pitlick\pitlity01,28,PHI,C,63,535,622,46.2,-6.3,405,457,47.0,-5.0,11.9,92.1,104.0,46.5,53.5,12:03,10:53,28,15,-0.4,127,59.8
647,Ryan Poehling\poehlry01,21,MTL,C,27,250,235,51.5,-4.0,185,169,52.3,-2.8,3.8,93.6,97.4,50.8,49.2,10:20,9:28,7,8,-1.6,44,59.1
648,Austin Poganski\poganau01,23,STL,RW,1,1,6,14.3,-37.7,1,6,14.3,-39.8,0.0,100.0,100.0,50.0,50.0,5:54,5:54,0,0,-0.3,0,
649,Brayden Point\pointbr01,23,TBL,C,66,1088,906,54.6,3.2,824,685,54.6,4.0,13.2,90.7,103.9,57.0,43.0,18:54,15:17,30,19,8.7,277,50.9
650,Roman Polak\polakro01,33,DAL,D,41,454,588,43.6,-7.4,331,413,44.5,-5.9,5.3,92.6,97.9,41.3,58.7,16:40,13:45,4,22,-2.1,73,46.6
651,Tucker Poolman\poolmtu01,26,WPG,D,57,814,918,47.0,-2.6,604,734,45.1,-3.8,11.1,90.6,101.6,50.5,49.5,17:27,16:31,14,46,-12.9,149,43.0
652,Derrick Pouliot\poulide01,26,STL,D,2,10,6,62.5,15.6,7,4,63.6,20.0,0.0,66.7,66.7,57.1,42.9,8:20,8:20,0,1,0.0,3,33.3
653,Nikolai Prokhorkin\prokhni01,26,LAK,LW,43,486,431,53.0,0.1,356,354,50.1,-2.4,4.9,93.1,98.0,50.0,50.0,12:06,11:29,19,14,-4.8,113,55.8
654,Dalton Prout\proutda01,29,SJS,D,2,19,20,48.7,1.8,15,16,48.4,4.6,9.1,90.9,100.0,77.8,22.2,12:49,12:24,2,0,-0.6,4,50.0
655,Ivan Provorov\provoiv01,23,PHI,D,69,1226,1111,52.5,1.9,928,853,52.1,1.7,9.9,90.6,100.5,45.8,54.2,24:51,18:59,16,67,6.7,275,54.5
656,Ryan Pulock\pulocry01,25,NYI,D,68,1100,1353,44.8,-2.9,823,950,46.4,-0.9,10.8,90.7,101.5,43.7,56.3,22:24,18:47,15,64,-0.2,315,51.7
657,Mark Pysyk\pysykma01,28,FLA,D,58,577,720,44.5,-6.4,434,534,44.8,-6.4,9.8,92.0,101.9,33.4,66.6,12:45,12:05,26,15,-5.8,105,61.9
658,John Quenneville\quennjo02,23,CHI,C,9,98,96,50.5,0.1,68,75,47.6,0.2,12.0,88.3,100.3,49.4,50.6,11:03,10:20,2,5,-1.6,19,73.7
659,Alan Quine\quineal01,26,CGY,C,9,81,72,52.9,1.8,56,52,51.9,2.2,2.7,94.6,97.3,54.5,45.5,9:48,9:47,2,1,-0.2,18,66.7
660,Gage Quinney\quinnga01,24,VEG,F,3,24,18,57.1,8.4,20,14,58.8,9.3,15.4,70.0,85.4,33.3,66.7,9:43,9:39,0,0,0.2,4,50.0
661,Lukas Radil\radillu01,29,SJS,C,14,95,114,45.5,-3.2,63,89,41.4,-5.6,4.9,91.8,96.7,50.7,49.3,9:17,8:14,4,4,-1.7,19,63.2
662,Alexander Radulov\radulal01,33,DAL,RW,60,859,781,52.4,4.0,646,574,53.0,4.8,7.7,94.1,101.8,61.3,38.7,16:45,14:04,26,44,8.7,218,60.6
663,Michael Raffl\rafflmi01,31,PHI,LW,58,533,558,48.9,-2.8,403,417,49.1,-2.2,8.5,90.6,99.1,51.6,48.4,12:22,10:58,19,23,0.4,93,71.0
664,Rickard Rakell\rakelri01,26,ANA,RW,65,947,918,50.8,3.1,730,701,51.0,3.2,9.2,89.1,98.3,55.0,45.0,18:09,14:51,30,42,1.9,316,58.9
665,Mikko Rantanen\rantami01,23,COL,RW,42,689,614,52.9,2.7,526,464,53.1,3.1,9.9,89.0,98.9,57.8,42.2,18:57,15:06,34,16,2.1,182,58.8
666,Victor Rask\raskvi01,26,MIN,C,43,418,375,52.7,4.4,317,285,52.7,3.8,8.9,93.7,102.6,55.8,44.2,10:29,10:04,13,5,3.5,63,60.3
667,Ryan Reaves\reavery01,33,VEG,RW,71,671,583,53.5,-1.2,504,429,54.0,-0.9,7.0,91.3,98.2,58.0,42.0,10:09,9:53,17,7,6.3,99,61.6
668,Mike Reilly\reillmi01,26,TOT,D,44,774,713,52.1,2.3,587,538,52.2,2.8,7.6,90.4,98.0,52.8,47.2,18:01,15:52,9,39,4.4,190,44.7
669,Sam Reinhart\reinhsa01,24,BUF,C,69,1114,1029,52.0,4.0,865,832,51.0,3.3,9.5,89.6,99.1,59.1,40.9,20:38,17:04,21,33,-5.5,271,53.1
670,Anthony Richard\richaan01,23,NSH,C,1,4,5,44.4,-5.0,4,4,50.0,-3.0,0.0,75.0,75.0,100.0,0.0,4:10,4:10,0,0,-0.4,2,100.0
671,Brad Richardson\richabr02,34,ARI,C,59,535,724,42.5,-7.4,407,536,43.2,-6.5,7.6,92.8,100.4,29.5,70.5,13:39,10:54,12,18,-6.2,133,57.1
672,Tobias Rieder\riedeto01,27,CGY,C,55,508,541,48.4,-2.8,384,403,48.8,-1.6,4.2,91.8,96.0,45.7,54.3,11:05,9:20,17,8,-2.4,129,59.7
673,Morgan Rielly\riellmo01,25,TOR,D,47,1008,950,51.5,-2.0,756,750,50.2,-2.8,9.9,90.8,100.7,50.0,50.0,24:10,19:29,17,42,0.6,261,47.1
674,Juuso Riikola\riikoju01,26,PIT,D,36,414,372,52.7,3.3,306,267,53.4,4.1,6.0,93.9,99.9,56.4,43.6,13:53,12:39,8,16,3.6,83,45.8
675,Zac Rinaldo\rinalza01,29,CGY,C,19,135,185,42.2,-7.0,107,146,42.3,-6.7,7.8,92.5,100.2,47.0,53.0,8:16,8:14,5,5,-3.3,28,67.9
676,Rasmus Ristolainen\ristora01,25,BUF,D,69,1020,1165,46.7,-4.2,788,922,46.1,-4.3,11.1,90.5,101.6,47.6,52.4,22:48,18:10,17,24,-7.4,214,59.8
677,Brett Ritchie\ritchbr01,26,BOS,RW,27,224,208,51.9,1.3,171,168,50.4,0.3,9.0,90.6,99.6,55.6,44.4,10:24,9:52,3,4,-2.1,57,59.6
678,Nick Ritchie\ritchni01,24,TOT,LW,48,583,546,51.6,5.0,459,408,52.9,6.6,7.9,92.0,99.9,52.2,47.8,14:10,12:10,11,20,-0.7,138,56.5
679,Jason Robertson\roberja01,20,DAL,LW,3,25,26,49.0,8.6,16,20,44.4,2.7,16.7,84.6,101.3,58.3,41.7,12:19,11:06,1,0,0.3,6,66.7
680,Buddy Robinson\robinbu01,28,CGY,RW,5,49,57,46.2,-2.8,38,39,49.4,3.2,3.8,96.2,100.0,45.9,54.1,12:03,9:46,2,1,1.0,14,42.9
681,Eric Robinson\robiner01,24,CBJ,LW,50,463,438,51.4,4.1,356,317,52.9,4.1,8.6,94.3,102.9,50.5,49.5,10:57,10:37,13,11,6.3,117,59.0
682,Evan Rodrigues\rodriev01,26,TOT,C,45,380,372,50.5,-0.8,282,278,50.4,-1.0,6.6,90.1,96.7,47.0,53.0,11:17,10:03,14,13,0.1,112,67.0
683,Kevin Rooney\rooneke01,26,NJD,C,49,359,472,43.2,-3.2,264,349,43.1,-4.2,8.5,95.9,104.4,32.3,67.7,11:44,9:23,17,13,-2.5,97,60.8
684,Calle Rosen\rosenca01,25,TOT,D,12,152,156,49.4,-0.1,114,123,48.1,-1.5,6.0,93.2,99.1,57.0,43.0,13:35,12:57,2,8,-1.0,36,38.9
685,Jack Roslovic\rosloja01,23,WPG,C,71,937,880,51.6,3.4,689,697,49.7,2.4,8.3,93.2,101.5,56.4,43.6,14:54,13:33,24,38,-7.7,206,56.8
686,Antoine Roussel\roussan01,30,VAN,LW,41,404,459,46.8,0.1,322,339,48.7,1.3,10.6,91.2,101.8,52.2,47.8,11:50,10:30,7,13,-5.0,92,59.8
687,Carter Rowney\rowneca01,30,ANA,RW,71,582,801,42.1,-7.6,453,608,42.7,-6.9,9.1,93.6,102.7,36.2,63.8,12:49,10:11,24,26,-7.1,114,55.3
688,Matt Roy\royma04,24,LAK,D,70,1229,961,56.1,4.3,936,717,56.6,5.7,8.8,92.1,100.9,54.2,45.8,18:07,16:39,7,43,9.8,242,46.3
689,Nicolas Roy\royni01,22,VEG,C,28,296,186,61.4,5.2,223,140,61.4,4.7,7.9,89.2,97.1,57.7,42.3,11:26,10:45,10,6,6.7,65,64.6
690,German Rubtsov\rubtsge01,21,PHI,C,4,8,21,27.6,-25.1,5,13,27.8,-25.9,0.0,90.9,90.9,54.5,45.5,6:48,6:48,1,1,-0.4,1,100.0
691,Chad Ruhwedel\ruhwech01,29,PIT,D,41,452,469,49.1,-1.1,346,350,49.7,-1.1,8.8,92.7,101.5,52.5,47.5,14:46,13:27,7,17,2.0,84,52.4
692,Kris Russell\russekr01,32,EDM,D,55,565,744,43.2,-4.9,426,517,45.2,-2.9,6.6,93.7,100.3,43.5,56.5,16:47,14:24,31,38,-5.2,82,54.9
693,Patrick Russell\russepa01,27,EDM,RW,45,381,444,46.2,-2.5,285,318,47.3,-1.3,4.6,90.0,94.6,32.1,67.9,11:22,10:19,9,13,-2.4,94,61.7
694,Bryan Rust\rustbr01,27,PIT,RW,55,826,795,51.0,0.2,644,590,52.2,1.3,12.5,89.7,102.2,59.0,41.0,19:46,15:19,29,37,10.1,244,61.9
695,Jan Rutta\ruttaja02,29,TBL,D,33,458,398,53.5,1.3,345,318,52.0,-0.2,11.3,91.3,102.6,50.9,49.1,15:33,13:54,2,8,5.0,81,53.1
696,Bobby Ryan\ryanbo01,32,OTT,LW,24,282,248,53.2,4.8,200,184,52.1,2.7,9.0,93.2,102.2,57.2,42.8,13:31,10:48,12,18,-0.6,95,45.3
697,Derek Ryan\ryande01,33,CGY,C,68,752,792,48.7,-1.8,561,592,48.7,-0.8,8.1,94.4,102.5,48.1,51.9,14:32,11:48,34,26,-0.1,170,60.6
698,Joakim Ryan\ryanjo02,26,LAK,D,35,545,496,52.4,-3.2,429,377,53.2,-1.3,4.2,91.9,96.1,53.6,46.4,19:09,17:24,6,28,1.4,99,54.5
699,Brandon Saad\saadbr01,27,CHI,LW,58,833,804,50.9,3.5,622,611,50.4,3.0,8.3,91.4,99.8,53.2,46.8,16:45,13:40,40,25,4.6,214,65.4
700,Aleksi Saarela\saareal01,23,FLA,C,9,91,108,45.7,-0.1,77,77,50.0,6.6,7.7,94.8,102.5,49.0,51.0,12:15,11:14,6,3,-1.3,24,62.5
701,Scott Sabourin\sabousc01,27,OTT,F,35,214,265,44.7,-5.5,158,185,46.1,-4.1,6.5,90.2,96.7,48.3,51.7,7:01,6:55,5,6,-4.0,49,59.2
702,Miikka Salomaki\salommi01,26,NSH,RW,5,38,45,45.8,-8.3,27,28,49.1,-4.8,9.5,100.0,109.5,28.1,71.9,12:09,11:38,1,3,0.2,5,40.0
703,Rasmus Sandin\sandira01,19,TOR,D,28,358,296,54.7,4.0,256,241,51.5,0.5,8.2,88.3,96.5,56.1,43.9,14:19,13:18,2,15,-1.8,48,45.8
704,Zach Sanford\sanfoza01,25,STL,LW,58,649,605,51.8,1.8,512,483,51.5,2.0,10.3,92.0,102.3,54.0,46.0,13:44,12:23,18,19,2.2,159,56.6
705,Travis Sanheim\sanhetr01,23,PHI,D,69,1151,1067,51.9,1.0,864,817,51.4,0.5,10.0,89.7,99.7,49.4,50.6,20:09,17:20,22,53,5.6,226,48.7
706,Steven Santini\santist01,24,NSH,D,2,15,11,57.7,-9.0,13,8,61.9,-6.6,28.6,85.7,114.3,60.0,40.0,9:33,9:16,0,0,0.2,2,50.0
707,Ashton Sautner\sautnas01,25,VAN,D,1,2,3,40.0,-11.9,1,3,25.0,-38.3,0.0,100.0,100.0,50.0,50.0,2:49,2:49,0,0,-0.3,1,100.0
708,David Savard\savarda01,29,CBJ,D,68,1102,1270,46.5,-3.3,867,889,49.4,-1.4,7.6,92.1,99.6,41.5,58.5,20:41,18:22,18,43,5.9,193,50.3
709,Luca Sbisa\sbisalu01,30,WPG,D,44,582,683,46.0,-3.1,445,536,45.4,-2.0,9.3,91.5,100.8,50.4,49.6,17:56,15:54,4,26,-6.8,99,49.5
710,Marco Scandella\scandma01,29,TOT,D,62,867,808,51.8,-0.3,659,607,52.1,0.8,10.1,92.5,102.6,50.2,49.8,17:35,15:30,18,49,5.5,171,45.0
711,Colton Sceviour\scevico01,30,FLA,C/RW,69,638,799,44.4,-6.8,497,568,46.7,-4.2,7.6,93.2,100.8,25.2,74.8,13:13,10:33,26,35,-5.8,171,66.7
712,Tim Schaller\schalti01,29,TOT,LW,53,343,505,40.4,-10.7,260,367,41.5,-10.1,4.9,90.7,95.7,34.5,65.5,11:34,8:45,14,9,-8.3,86,57.0
713,Mark Scheifele\scheima01,26,WPG,C,71,1256,1294,49.3,0.3,952,1041,47.8,-0.3,11.9,89.2,101.1,57.8,42.2,21:48,18:11,57,46,-8.1,288,59.0
714,Brayden Schenn\schenbr01,28,STL,C,71,948,922,50.7,0.1,720,704,50.6,0.1,9.5,91.2,100.7,53.9,46.1,18:26,15:06,26,39,2.1,224,61.6
715,Luke Schenn\schenlu01,30,TBL,D,25,247,274,47.4,-8.0,186,208,47.2,-8.2,7.5,87.7,95.2,50.0,50.0,12:27,10:43,5,10,-3.0,56,55.4
716,Nick Schmaltz\schmani01,23,ARI,C,70,894,889,50.1,2.5,679,684,49.8,2.2,8.6,92.1,100.7,59.1,40.9,15:32,13:02,52,27,-1.6,188,50.5
717,Nate Schmidt\schmina01,28,VEG,D,59,1148,1021,52.9,-3.5,862,766,52.9,-4.0,9.0,91.8,100.8,49.7,50.3,21:40,19:00,33,39,9.8,225,49.8
718,Justin Schultz\schulju01,29,PIT,D,46,719,708,50.4,-0.9,574,530,52.0,0.8,7.3,89.1,96.4,56.4,43.6,19:53,16:54,6,18,2.7,178,48.3
719,Jaden Schwartz\schwaja01,27,STL,C,71,953,858,52.6,2.8,726,662,52.3,2.5,8.9,91.4,100.4,54.0,46.0,18:10,14:52,50,29,2.8,286,56.6
720,Brent Seabrook\seabrbr01,34,CHI,D,32,451,564,44.4,-6.0,328,420,43.9,-5.6,7.9,94.0,101.9,46.2,53.8,18:09,15:45,3,27,-7.5,78,51.3
721,Nick Seeler\seeleni01,26,TOT,D,12,105,167,38.6,-9.3,79,120,39.7,-8.5,4.1,89.7,93.7,56.6,43.4,11:56,11:14,1,7,-3.1,17,29.4
722,Tyler Seguin\seguity01,28,DAL,C,69,1132,1123,50.2,1.2,830,830,50.0,1.1,7.6,92.3,99.9,51.0,49.0,19:08,15:44,34,52,4.7,395,62.0
723,Andrej Sekera\sekeran01,33,DAL,D,57,766,846,47.5,-2.7,575,616,48.3,-1.1,5.7,96.1,101.9,44.9,55.1,18:00,15:37,8,50,0.4,128,49.2
724,Brett Seney\seneybr01,23,NJD,LW,2,13,13,50.0,-2.5,8,10,44.4,-10.0,0.0,85.7,85.7,50.0,50.0,9:56,9:56,1,3,-0.5,2,50.0
725,Zachary Senyshyn\senysza01,22,BOS,RW,4,30,22,57.7,4.7,24,17,58.5,8.3,9.5,100.0,109.5,46.2,53.8,8:26,8:22,1,1,0.9,4,25.0
726,Mikhail Sergachev\sergami01,21,TBL,D,70,1177,1046,52.9,1.3,852,798,51.6,0.4,9.4,92.1,101.5,54.7,45.3,20:22,17:01,18,39,5.7,274,43.1
727,Damon Severson\severda01,25,NJD,D,69,1112,1236,47.4,2.3,841,907,48.1,2.2,7.6,89.8,97.4,45.0,55.0,22:58,18:13,35,73,-6.7,221,51.6
728,Michael Sgarbossa\sgarbmi01,27,WSH,C,2,11,12,47.8,-6.5,9,10,47.4,-6.4,0.0,100.0,100.0,50.0,50.0,8:07,8:07,2,1,-0.6,4,25.0
729,Kevin Shattenkirk\shattke01,31,TBL,D,70,1177,1014,53.7,2.5,870,776,52.9,2.2,9.8,93.7,103.6,53.2,46.8,18:53,16:50,32,34,9.0,246,53.3
730,Andrew Shaw\shawan01,28,CHI,C,26,328,318,50.8,3.7,229,246,48.2,1.5,8.8,91.3,100.1,49.2,50.8,14:27,11:47,12,15,1.5,69,66.7
731,Logan Shaw\shawlo01,28,WPG,RW,35,133,229,36.7,-12.6,100,160,38.5,-9.6,5.8,96.2,102.0,44.7,55.3,6:49,6:40,2,5,-4.0,36,55.6
732,Riley Sheahan\sheahri01,28,EDM,C,66,516,664,43.7,-5.0,399,486,45.1,-3.9,7.3,89.7,97.0,32.3,67.7,12:47,10:15,36,25,-3.9,109,64.2
733,Conor Sheary\shearco01,27,TOT,LW,63,664,654,50.4,0.3,504,515,49.5,-0.2,8.7,90.0,98.7,50.7,49.3,13:06,11:53,19,18,1.2,167,61.1
734,Kiefer Sherwood\sherwki01,24,ANA,RW,10,83,110,43.0,-4.6,63,86,42.3,-5.7,7.5,95.4,102.9,46.9,53.1,13:20,12:17,4,7,-3.9,33,51.5
735,Kole Sherwood\sherwko01,23,CBJ,RW,3,23,15,60.5,10.1,19,10,65.5,10.9,0.0,100.0,100.0,46.7,53.3,6:38,6:38,2,0,0.3,6,100.0
736,Devin Shore\shorede01,25,TOT,C,45,409,499,45.0,-2.8,324,383,45.8,-2.5,7.6,89.7,97.4,50.6,49.4,11:39,10:33,12,8,-6.4,79,63.3
737,Nick Shore\shoreni01,27,TOT,C,63,358,465,43.5,-7.8,268,348,43.5,-6.5,5.8,95.9,101.7,26.0,74.0,9:11,7:38,14,16,-5.1,77,58.4
738,Jonas Siegenthaler\siegejo01,22,WSH,D,64,755,737,50.6,-2.6,574,540,51.5,-1.2,8.1,93.3,101.4,46.6,53.4,15:44,12:22,13,32,1.5,110,44.5
739,Dylan Sikura\sikurdy01,24,CHI,C,9,84,93,47.5,-2.2,67,74,47.5,-1.0,7.7,94.8,102.5,54.2,45.8,9:54,9:53,2,0,-2.2,12,83.3
740,Jakob Silfverberg\silfvja01,29,ANA,LW,66,841,852,49.7,2.0,629,650,49.2,1.1,10.6,89.3,99.9,51.7,48.3,17:41,13:30,40,32,-3.3,270,57.4
741,Radim Simek\simekra01,27,SJS,D,48,652,755,46.3,-6.2,471,566,45.4,-7.5,7.2,90.9,98.1,46.5,53.5,17:09,15:07,20,36,-6.2,87,46.0
742,Wayne Simmonds\simmowa01,31,TOT,RW,68,758,847,47.2,0.9,567,613,48.1,1.3,6.6,91.1,97.7,48.1,51.9,14:55,12:05,27,18,-1.3,194,61.3
743,Dominik Simon\simondo01,25,PIT,C,64,865,763,53.1,3.1,666,581,53.4,2.7,7.2,90.0,97.2,58.5,41.5,14:24,13:40,41,31,3.4,180,56.7
744,Colton Sissons\sissoco01,26,NSH,C,57,545,656,45.4,-6.7,422,458,48.0,-4.4,9.4,90.6,100.0,30.6,69.4,14:20,11:35,14,25,-4.2,92,56.5
745,Jeff Skinner\skinnje01,27,BUF,LW/C,59,742,748,49.8,-0.2,558,582,48.9,-0.6,7.1,90.0,97.1,52.1,47.9,16:29,13:57,28,24,-1.4,291,62.9
746,Brady Skjei\skjeibr01,25,TOT,D,67,1104,1266,46.6,-1.6,845,976,46.4,-2.8,8.9,89.8,98.6,47.2,52.8,20:41,17:58,36,55,-7.9,239,58.2
747,Jaccob Slavin\slavija01,25,CAR,D,68,1355,1100,55.2,1.7,1063,855,55.4,3.2,10.4,91.0,101.4,52.8,47.2,23:24,19:17,81,49,18.0,293,49.5
748,Brendan Smith\smithbr05,30,NYR,D,62,433,561,43.6,-4.0,331,407,44.9,-2.9,4.7,90.8,95.5,47.1,52.9,11:06,8:58,18,24,-7.8,87,51.7
749,Craig Smith\smithcr01,30,NSH,C,69,850,701,54.8,5.2,667,525,56.0,5.8,9.6,93.6,103.1,51.3,48.7,13:25,11:02,26,26,8.0,280,65.7
750,Dalton Smith\smithda03,27,BUF,LW,1,1,0,100.0,47.8,1,0,100.0,48.2,100.0,,,50.0,50.0,1:26,1:26,0,0,0.1,0,
