,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
775,Riley Stillman\stillri01,21,FLA,D,34,0,5,5,-3,14,0.6,0,0,0,0,5,0,0,39,0.0,650,19:07,57,59,0,0,
776,Mark Stone\stonema01,27,VEG,RW,65,21,42,63,15,27,7.1,15,6,0,3,30,11,1,168,12.5,1262,19:25,51,56,16,30,34.8
777,Michael Stone\stonemi01,29,CGY,D,33,2,5,7,-5,16,1.1,2,0,0,0,5,0,0,57,3.5,539,16:19,54,52,0,0,
778,Anton Stralman\stralan01,33,FLA,D,69,5,14,19,-6,14,2.6,5,0,0,3,13,0,1,89,5.6,1454,21:04,96,68,0,0,
779,Ben Street\streebe01,32,NJD,C,3,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0.0,24,8:08,0,3,5,6,45.5
780,Dylan Strome\stromdy01,22,CHI,C,58,12,26,38,1,16,3.5,10,2,0,2,20,6,0,97,12.4,925,15:56,29,23,277,304,47.7
781,Ryan Strome\stromry01,26,NYR,C,70,18,41,59,21,48,5.9,15,3,0,3,26,14,1,154,11.7,1371,19:35,32,45,496,548,47.5
782,Jack Studnicka\studnja01,20,BOS,C,2,0,1,1,2,2,0.1,0,0,0,0,1,0,0,3,0.0,24,12:08,0,2,9,6,60.0
783,Nico Sturm\sturmni01,24,MIN,C,6,0,2,2,2,0,0.2,0,0,0,0,2,0,0,2,0.0,71,11:54,5,6,26,23,53.1
784,P.K. Subban\subbapk01,30,NJD,D,68,7,11,18,-21,79,2.8,5,2,0,3,7,4,0,151,4.6,1504,22:07,90,88,0,0,
785,C.J. Suess\frankcl01,25,WPG,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,6:26,0,1,1,3,25.0
786,Oskar Sundqvist\sundqos01,25,STL,C,57,12,11,23,5,28,2.4,11,0,1,1,10,0,1,97,12.4,820,14:23,26,60,105,132,44.3
787,Antti Suomela\suomean01,25,SJS,C,20,1,6,7,4,4,0.7,1,0,0,0,6,0,0,18,5.6,194,9:41,5,27,51,42,54.8
788,Ryan Suter\suterry01,35,MIN,D,69,8,40,48,-6,12,6.4,6,2,0,2,24,16,0,111,7.2,1700,24:38,93,48,0,0,
789,Brandon Sutter\suttebr03,30,VAN,C,44,8,9,17,1,25,1.4,7,1,0,0,7,2,0,76,10.5,653,14:51,15,18,185,193,48.9
790,Nick Suzuki\suzukni01,20,MTL,C,71,13,28,41,-15,6,3.2,7,6,0,1,20,8,0,138,9.4,1135,15:59,32,64,305,354,46.3
791,Andrei Svechnikov\svechan01,19,CAR,RW,68,24,37,61,9,54,6.9,18,6,0,5,23,14,0,183,13.1,1138,16:44,27,116,0,1,0.0
792,Evgeny Svechnikov\svechev01,23,DET,LW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,7,0.0,33,8:20,1,5,0,0,
793,Jordan Szwarz\szwarjo01,28,OTT,RW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,15,4:55,1,6,4,5,44.4
794,Brandon Tanev\tanevbr01,28,PIT,LW,68,11,14,25,-1,16,1.9,9,0,2,4,12,1,1,95,11.6,1004,14:46,65,244,6,9,40.0
795,Chris Tanev\tanevch01,30,VAN,D,69,2,18,20,4,41,3.6,2,0,0,1,16,1,1,45,4.4,1348,19:32,159,32,0,0,
796,Vladimir Tarasenko\tarasvl01,28,STL,RW,10,3,7,10,-2,0,1.0,2,1,0,0,5,2,0,26,11.5,162,16:11,7,17,0,0,
797,Tomas Tatar\tatarto01,29,MTL,C,68,22,39,61,5,36,7.0,14,8,0,1,33,6,0,162,13.6,1108,16:18,24,79,9,16,36.0
798,John Tavares\tavarjo01,29,TOR,C,63,26,34,60,-7,24,6.1,19,7,0,4,20,14,0,197,13.2,1232,19:33,31,32,617,499,55.3
799,Matt Tennyson\tennyma01,29,NJD,D,20,0,3,3,-2,6,0.4,0,0,0,0,3,0,0,14,0.0,243,12:09,18,27,0,0,
800,Teuvo Teravainen\teravte01,25,CAR,F,68,15,48,63,20,8,6.4,10,4,1,1,28,17,3,182,8.2,1305,19:12,30,18,26,27,49.1
801,Troy Terry\terrytr01,22,ANA,C,47,4,11,15,-5,6,0.7,4,0,0,0,9,2,0,73,5.5,682,14:31,9,3,3,5,37.5
802,Alexandre Texier\texieal01,20,CBJ,C,36,6,7,13,3,10,1.4,6,0,0,1,6,1,0,49,12.2,459,12:45,7,20,22,41,34.9
803,Shea Theodore\theodsh01,24,VEG,D,71,13,33,46,12,25,8.1,11,1,1,4,18,15,0,219,5.9,1579,22:14,69,20,0,0,
804,Robert Thomas\thomaro01,20,STL,C,66,10,32,42,9,18,4.1,9,1,0,2,26,6,0,87,11.5,961,14:34,13,13,136,181,42.9
805,Nate Thompson\thompna01,35,TOT,C,70,4,11,15,-1,30,0.4,4,0,0,1,10,0,1,67,6.0,895,12:47,50,118,433,354,55.0
805,Nate Thompson\thompna01,35,MTL,C,63,4,10,14,-2,21,0.4,4,0,0,1,9,0,1,62,6.5,807,12:48,41,103,404,329,55.1
805,Nate Thompson\thompna01,35,PHI,C,7,0,1,1,1,9,0.0,0,0,0,0,1,0,0,5,0.0,88,12:37,9,15,29,25,53.7
806,Tage Thompson\thompta01,22,BUF,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:59,0,2,0,0,
807,Joe Thornton\thornjo01,40,SJS,C,70,7,24,31,-19,34,1.6,4,3,0,1,19,5,0,76,9.2,1085,15:30,29,20,323,331,49.4
808,Calvin Thurkauf\thurkca01,22,CBJ,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,25,8:15,0,5,2,0,100.0
809,Chris Tierney\tiernch01,25,OTT,C,71,11,26,37,-6,20,2.6,6,1,4,2,24,1,1,102,10.8,1220,17:11,37,44,521,497,51.2
810,Dmytro Timashov\timasdm01,23,TOT,LW,44,4,5,9,1,16,0.7,4,0,0,1,5,0,0,37,10.8,375,8:32,11,93,0,0,
810,Dmytro Timashov\timasdm01,23,TOR,LW,39,4,5,9,1,16,0.8,4,0,0,1,5,0,0,34,11.8,316,8:06,10,83,0,0,
810,Dmytro Timashov\timasdm01,23,DET,LW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,60,11:54,1,10,0,0,
811,Conor Timmins\timmico01,21,COL,D,2,0,0,0,2,0,0.2,0,0,0,0,0,0,0,1,0.0,21,10:25,0,0,0,0,
812,Jarred Tinordi\tinorja01,27,NSH,D,28,1,4,5,-1,34,0.8,1,0,0,0,3,0,1,20,5.0,465,16:37,36,71,0,0,
813,Brady Tkachuk\tkachbr01,20,OTT,LW,71,21,23,44,-14,106,3.9,19,2,0,3,17,6,0,259,8.1,1344,18:56,43,303,144,168,46.2
814,Matthew Tkachuk\tkachma01,22,CGY,LW,69,23,38,61,-5,74,6.5,18,5,0,4,24,14,0,188,12.2,1263,18:18,22,122,0,4,0.0
815,Devon Toews\toewsde01,25,NYI,D,68,6,22,28,1,16,5.0,5,1,0,1,17,5,0,122,4.9,1395,20:31,75,55,0,0,
816,Jonathan Toews\toewsjo01,31,CHI,C,70,18,42,60,-2,48,5.4,16,1,1,3,35,7,0,172,10.5,1384,19:47,35,56,856,638,57.3
817,Tyler Toffoli\toffoty01,27,TOT,C,68,24,20,44,-1,20,5.1,19,5,0,4,15,5,0,203,11.8,1146,16:51,16,48,4,10,28.6
