,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
865,Colin Wilson\wilsoco01,30,COL,C,9,0,4,4,6,0,0.4,0,0,0,0,4,0,0,12,0.0,114,12:38,2,8,3,4,42.9
866,Scott Wilson\wilsosc01,27,BUF,C,6,1,1,2,1,2,0.2,1,0,0,0,1,0,0,8,12.5,70,11:38,0,3,0,0,
867,Tom Wilson\wilsoto01,25,WSH,RW,68,21,23,44,-3,93,4.2,15,5,1,5,20,2,1,154,13.6,1242,18:16,58,253,18,39,31.6
868,Luke Witkowski\witkolu01,29,TBL,D,12,1,2,3,-4,13,0.2,1,0,0,0,2,0,0,10,10.0,106,8:48,3,38,0,0,
869,Christian Wolanin\wolanch01,24,OTT,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,4,0.0,53,17:41,4,0,0,0,
870,Miles Wood\woodmi01,24,NJD,LW,68,11,12,23,-19,57,1.4,11,0,0,1,12,0,0,141,7.8,900,13:14,26,102,0,1,0.0
871,Kailer Yamamoto\yamamka01,21,EDM,RW,27,11,15,26,17,12,3.7,9,2,0,0,15,0,0,44,25.0,469,17:23,13,45,1,0,100.0
872,Keith Yandle\yandlke01,33,FLA,D,69,5,40,45,0,20,5.6,3,2,0,0,21,19,0,129,3.9,1359,19:42,51,18,0,1,0.0
873,Alexander Yelesin\yelesal01,23,CGY,D,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,50,12:30,0,13,0,0,
874,Danil Yurtaykin\yurtada01,22,SJS,F,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,52,13:00,2,3,0,0,
875,Pavel Zacha\zachapa01,22,NJD,C,65,8,24,32,-12,14,2.0,3,3,2,1,17,5,2,97,8.2,1057,16:16,19,62,283,371,43.3
876,Filip Zadina\zadinfi01,20,DET,RW,28,8,7,15,-13,2,1.3,4,4,0,1,4,3,0,60,13.3,425,15:10,10,11,1,0,100.0
877,Nikita Zadorov\zadorni01,24,COL,D,64,4,9,13,6,65,2.7,4,0,0,0,9,0,0,65,6.2,1137,17:46,66,175,0,0,
878,Nikita Zaitsev\zaitsni01,28,OTT,D,58,1,11,12,-8,22,1.7,1,0,0,0,11,0,0,64,1.6,1285,22:09,121,108,0,0,
879,Travis Zajac\zajactr01,34,NJD,C,69,9,16,25,-12,28,1.2,7,1,1,1,14,0,2,72,12.5,1180,17:06,39,58,576,514,52.8
880,Mika Zibanejad\zibanmi01,26,NYR,C,57,41,34,75,9,14,9.7,23,15,3,6,20,12,2,208,19.7,1233,21:38,49,51,592,612,49.2
881,Mats Zuccarello\zuccama01,32,MIN,LW,65,15,22,37,-9,18,3.1,12,3,0,2,18,4,0,96,15.6,1036,15:56,36,13,9,5,64.3
882,Jason Zucker\zuckeja01,28,TOT,LW,60,20,21,41,-4,21,4.3,13,7,0,4,16,5,0,111,18.0,980,16:20,23,53,12,29,29.3
882,Jason Zucker\zuckeja01,28,MIN,LW,45,14,15,29,-3,19,3.0,9,5,0,2,11,4,0,75,18.7,715,15:54,20,35,12,28,30.0
882,Jason Zucker\zuckeja01,28,PIT,LW,15,6,6,12,-1,2,1.3,4,2,0,2,5,1,0,36,16.7,265,17:40,3,18,0,1,0.0
883,Valentin Zykov\zykovva01,24,VEG,LW,15,1,3,4,-2,6,0.1,0,1,0,0,3,0,0,19,5.3,183,12:13,3,20,0,1,0.0
